Kind,Name,AvgCyclomatic,SumCyclomatic,MaxEssential,MaxNesting
File,"Cliente.java",1,11,1,1
File,"Colors.java",0,0,0,0
File,"Comercial.java",2,90,11,4
File,"Compra.java",1,11,1,0
File,"Console.java",2,13,3,3
File,"CustomTransferHandler.java",3,16,5,3
File,"Estatistica.java",1,12,1,0
File,"Fornecedor.java",1,11,1,1
File,"InterfaceBase.java",1,21,1,2
File,"InterfaceComercial.java",3,94,1,2
File,"InterfaceUtil.java",2,14,1,1
File,"InternalFrameVendaCliente.java",2,18,1,4
File,"ItemCompra.java",1,8,1,0
File,"ItemVenda.java",1,9,1,0
File,"LtpLib.java",3,145,11,4
File,"PanelClienteCenter.java",2,42,1,2
File,"PanelFornecedorCenter.java",2,71,1,5
File,"PanelProdutosCenter.java",2,31,1,3
File,"PanelVendedorCenter.java",2,45,1,2
File,"Pessoa.java",1,14,1,0
File,"Produto.java",1,17,1,0
File,"SisComException.java",1,8,1,0
File,"Venda.java",1,15,1,0
File,"Vendedor.java",1,13,1,1
Package,"controller",2,90,11,4
Public Class,"controller.Comercial",2,87,11,4
Public Method,"controller.Comercial.ExcluirPessoa",,1,,0
Public Method,"controller.Comercial.consultarClienteCpf",,3,,2
Public Method,"controller.Comercial.consultarCpf",,11,,4
Public Static Method,"controller.Comercial.consultarPessoas",,10,,3
Public Method,"controller.Comercial.consultarProduto",,3,,2
Public Method,"controller.Comercial.excluirCompraFornecedor",,2,,1
Public Method,"controller.Comercial.excluirVendaCliente",,3,,2
Public Method,"controller.Comercial.fazerCompraFornecedor",,1,,0
Public Static Method,"controller.Comercial.getListaCompras",,1,,0
Public Static Method,"controller.Comercial.getListaEstatisticaComprasCliente",,1,,0
Public Static Method,"controller.Comercial.getListaEstatisticaVendasFornecedor",,1,,0
Public Static Method,"controller.Comercial.getListaEstatisticaVendasVendedor",,1,,0
Public Static Method,"controller.Comercial.getListaPessoas",,1,,0
Public Static Method,"controller.Comercial.getListaProdutos",,1,,0
Public Static Method,"controller.Comercial.getListaVendas",,1,,0
Public Static Method,"controller.Comercial.getTemporariaListaProdutos",,1,,0
Public Method,"controller.Comercial.inserirPessoa",,1,,0
Public Method,"controller.Comercial.inserirProduto",,1,,0
Public Static Method,"controller.Comercial.listaClientes",,4,,3
Public Static Method,"controller.Comercial.listaFornecedores",,4,,3
Public Static Method,"controller.Comercial.listaVendedor",,4,,3
Public Method,"controller.Comercial.obterListaProdutosEstoqueMin",,4,,0
Class,"controller.Comercial.obterListaProdutosEstoqueMin.(Anon_2)",1,1,1,0
Public Method,"controller.Comercial.obterListaProdutosEstoqueMin.(Anon_2).compare",,1,,0
Public Method,"controller.Comercial.obterListaProdutosNomeOrdenada",,2,,0
