Kind,Name,MaxInheritanceTree,CountClassDerived,CountClassBase,CountClassCoupled
Public Class,"controller.Comercial",1,0,2,13
Class,"controller.Comercial.obterListaProdutosNomeOrdenada.(Anon_1)",1,0,2,1
Class,"controller.Comercial.ordenarArrayListNome.(Anon_2)",1,0,2,1
Public Class,"error.SisComException",2,0,1,0
Public Class,"model.Cliente",2,0,2,3
Public Class,"model.Compra",1,0,2,2
Public Class,"model.Estatistica",1,0,2,1
Public Class,"model.Fornecedor",2,0,2,2
Public Class,"model.ItemCompra",1,0,2,1
Public Class,"model.ItemVenda",1,0,2,1
Public Abstract Class,"model.Pessoa",1,3,3,1
Public Class,"model.Produto",1,0,3,3
Class,"model.Produto.obterListaProdutosEstoqueMin.(Anon_1)",1,0,2,1
Public Class,"model.Venda",1,0,2,4
Public Class,"model.Vendedor",2,0,2,3
Public Class,"utilitarios.Console",1,0,1,0
Public Class,"utilitarios.CustomTransferHandler",2,0,1,3
Public Class,"utilitarios.InterfaceUtil",1,0,1,0
Class,"utilitarios.InterfaceUtil.addPopup.(Anon_1)",1,0,2,1
Public Class,"utilitarios.LtpLib",1,0,1,1
Public Class,"view.Colors",1,0,1,0
Public Class,"view.InterfaceBase",2,0,1,6
Class,"view.InterfaceBase.InterfaceBase.(Anon_1)",1,0,2,1
Class,"view.InterfaceBase.InterfaceBase.(Anon_10)",1,0,2,1
Class,"view.InterfaceBase.InterfaceBase.(Anon_11)",1,0,2,1
Class,"view.InterfaceBase.InterfaceBase.(Anon_12)",1,0,2,1
Class,"view.InterfaceBase.InterfaceBase.(Anon_2)",1,0,2,1
Class,"view.InterfaceBase.InterfaceBase.(Anon_3)",1,0,2,2
Class,"view.InterfaceBase.InterfaceBase.(Anon_4)",1,0,2,1
Class,"view.InterfaceBase.InterfaceBase.(Anon_5)",1,0,2,2
Class,"view.InterfaceBase.InterfaceBase.(Anon_6)",1,0,2,1
Class,"view.InterfaceBase.InterfaceBase.(Anon_7)",1,0,2,2
Class,"view.InterfaceBase.InterfaceBase.(Anon_8)",1,0,2,2
Class,"view.InterfaceBase.InterfaceBase.(Anon_9)",1,0,2,1
Public Class,"view.InterfaceComercial",1,0,1,12
Public Class,"view.InternalFrameVendaCliente",2,0,1,12
Class,"view.InternalFrameVendaCliente.InternalFrameVendaCliente.(Anon_1)",1,0,2,7
Class,"view.InternalFrameVendaCliente.InternalFrameVendaCliente.(Anon_2)",1,0,2,7
